version 4841
stamp 2022-02-28T19:09:25.840102+0000
last_osdmap_epoch 0
last_pg_scan 0
PG_STAT  OBJECTS  MISSING_ON_PRIMARY  DEGRADED  MISPLACED  UNFOUND  BYTES     OMAP_BYTES*  OMAP_KEYS*  LOG  DISK_LOG  STATE              STATE_STAMP                      VERSION  REPORTED  UP             UP_PRIMARY  ACTING         ACTING_PRIMARY  LAST_SCRUB  SCRUB_STAMP                      LAST_DEEP_SCRUB  DEEP_SCRUB_STAMP                 SNAPTRIMQ_LEN
4.f3           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:04:08.989723+0000    482'7    556:47      [6,10,12]           6      [6,10,12]               6       482'7  2022-02-28T16:40:55.191771+0000            482'7  2022-02-28T16:40:55.191771+0000              0
6.f6           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:11.178520+0000      0'0    556:53     [19,12,11]          19     [19,12,11]              19         0'0  2022-02-28T16:39:16.488407+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.f5           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:20.666139+0000    482'2   556:205      [19,20,7]          19      [19,20,7]              19       482'2  2022-02-28T16:43:04.745208+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.f3           0                   0         0          0        0         0            0           0   18        18       active+clean  2022-02-28T19:04:11.169769+0000   482'18    556:49   [7,19,16,10]           7   [7,19,16,10]               7      482'18  2022-02-28T16:39:50.700977+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.f4           1                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:04:23.872647+0000    482'3    556:39        [5,7,8]           5        [5,7,8]               5       482'3  2022-02-28T16:37:18.370436+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.f7           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.442902+0000      0'0    556:32     [10,20,21]          10     [10,20,21]              10         0'0  2022-02-28T16:42:10.761743+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.f4           1                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:28.824555+0000    485'4    556:44       [7,9,20]           7       [7,9,20]               7       485'4  2022-02-28T16:34:19.583661+0000            485'4  2022-02-28T16:34:19.583661+0000              0
3.f2           0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:03:20.849183+0000    482'8   556:294   [19,12,7,18]          19   [19,12,7,18]              19       482'8  2022-02-28T16:41:42.838159+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.f5           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:10.632681+0000    482'2    556:53     [20,12,10]          20     [20,12,10]              20       482'2  2022-02-28T16:43:13.062321+0000              0'0  2022-02-24T18:54:13.443621+0000              0
6.f4           1                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:17.659325+0000    261'2    556:72     [21,11,13]          21     [21,11,13]              21       261'2  2022-02-28T16:39:07.941351+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.f7           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:03:05.305411+0000    482'3    556:44     [18,12,19]          18     [18,12,19]              18       482'3  2022-02-28T16:33:35.734378+0000              0'0  2022-02-23T17:13:31.371583+0000              0
